,TICKER,EST_DATE,MEASURE,FPI,MEANEST,ACT_DATE,ACTUAL
2254,GOOG,20200820,EPS,1,2.21,20201231,2.9305
2302,GOOG,20200820,EPS,2,2.82,20211231,5.61
2255,GOOG,20200917,EPS,1,2.22,20201231,2.9305
2303,GOOG,20200917,EPS,2,2.83,20211231,5.61
2256,GOOG,20201015,EPS,1,2.22,20201231,2.9305
2304,GOOG,20201015,EPS,2,2.83,20211231,5.61
2257,GOOG,20201119,EPS,1,2.6,20201231,2.9305
2305,GOOG,20201119,EPS,2,3.07,20211231,5.61
2258,GOOG,20201217,EPS,1,2.59,20201231,2.9305
2306,GOOG,20201217,EPS,2,3.06,20211231,5.61
2259,GOOG,20210114,EPS,1,2.6,20201231,2.9305
2307,GOOG,20210114,EPS,2,3.07,20211231,5.61
2284,GOOG,20210218,EPS,1,3.49,20211231,5.61
2285,GOOG,20210318,EPS,1,3.49,20211231,5.61
2286,GOOG,20210415,EPS,1,3.47,20211231,5.61
2287,GOOG,20210520,EPS,1,4.38,20211231,5.61
2288,GOOG,20210617,EPS,1,4.34,20211231,5.61
2289,GOOG,20210715,EPS,1,4.35,20211231,5.61
2290,GOOG,20210819,EPS,1,5.06,20211231,5.61
2291,GOOG,20210916,EPS,1,5.04,20211231,5.61
2292,GOOG,20211014,EPS,1,5.04,20211231,5.61
2293,GOOG,20211118,EPS,1,5.44,20211231,5.61
2294,GOOG,20211216,EPS,1,5.42,20211231,5.61
2576,NFLX,20100114,EPS,1,0.27,20091231,0.2829
2624,NFLX,20100114,EPS,2,0.32,20101231,0.4229
2744,NFLX,20100114,EPS,5,0.5,20131231,0.2643
2601,NFLX,20100218,EPS,1,0.36,20101231,0.4229
2649,NFLX,20100218,EPS,2,0.44,20111231,0.6086
2769,NFLX,20100218,EPS,5,0.75,20141231,0.5271
2602,NFLX,20100318,EPS,1,0.36,20101231,0.4229
2650,NFLX,20100318,EPS,2,0.44,20111231,0.6086
2770,NFLX,20100318,EPS,5,0.75,20141231,0.5271
2603,NFLX,20100415,EPS,1,0.36,20101231,0.4229
2651,NFLX,20100415,EPS,2,0.45,20111231,0.6086
2771,NFLX,20100415,EPS,5,0.75,20141231,0.5271
2604,NFLX,20100520,EPS,1,0.38,20101231,0.4229
2652,NFLX,20100520,EPS,2,0.5,20111231,0.6086
2772,NFLX,20100520,EPS,5,0.96,20141231,0.5271
2605,NFLX,20100617,EPS,1,0.38,20101231,0.4229
2653,NFLX,20100617,EPS,2,0.5,20111231,0.6086
2773,NFLX,20100617,EPS,5,0.96,20141231,0.5271
2606,NFLX,20100715,EPS,1,0.38,20101231,0.4229
2654,NFLX,20100715,EPS,2,0.51,20111231,0.6086
2774,NFLX,20100715,EPS,5,0.96,20141231,0.5271
2607,NFLX,20100819,EPS,1,0.4,20101231,0.4229
2655,NFLX,20100819,EPS,2,0.53,20111231,0.6086
2775,NFLX,20100819,EPS,5,1.08,20141231,0.5271
2608,NFLX,20100916,EPS,1,0.4,20101231,0.4229
2656,NFLX,20100916,EPS,2,0.53,20111231,0.6086
2776,NFLX,20100916,EPS,5,1.12,20141231,0.5271
2609,NFLX,20101014,EPS,1,0.4,20101231,0.4229
2657,NFLX,20101014,EPS,2,0.53,20111231,0.6086
2777,NFLX,20101014,EPS,5,1.1,20141231,0.5271
2610,NFLX,20101118,EPS,1,0.4,20101231,0.4229
2658,NFLX,20101118,EPS,2,0.54,20111231,0.6086
2778,NFLX,20101118,EPS,5,1.58,20141231,0.5271
2611,NFLX,20101216,EPS,1,0.4,20101231,0.4229
2659,NFLX,20101216,EPS,2,0.55,20111231,0.6086
2779,NFLX,20101216,EPS,5,1.58,20141231,0.5271
2612,NFLX,20110120,EPS,1,0.4,20101231,0.4229
